,iso_code,gdp_per_capita,population,total_cases,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations,stringency_index,cases_per_capita
10667,BGR,18563.307,6948445.0,242124.0,1733.0,48.0,349.0,4037.0,13025.0,20236.0,53.7,28.697877946837156
10668,BGR,18563.307,6948445.0,243946.0,1822.0,53.0,369.0,4202.0,12038.0,20050.0,53.7,28.483537340231035
10669,BGR,18563.307,6948445.0,245627.0,1681.0,49.0,370.0,4368.0,12639.0,15927.0,53.7,28.288604265817682
10670,BGR,18563.307,6948445.0,246706.0,1079.0,39.0,378.0,4502.0,13697.0,5321.0,53.7,28.16488046500693
10671,BGR,18563.307,6948445.0,247038.0,332.0,24.0,380.0,4674.0,8429.0,2685.0,53.7,28.12702904006671
10672,BGR,18563.307,6948445.0,249626.0,2588.0,117.0,394.0,4744.0,2530.0,11094.0,53.7,27.835421790999334
10673,BGR,18563.307,6948445.0,252029.0,2403.0,83.0,414.0,4777.0,16188.0,20233.0,53.7,27.57002170385154
10674,BGR,18563.307,6948445.0,253183.0,1154.0,22.0,423.0,5009.0,14530.0,4397.0,53.7,27.444358428488485
10675,BGR,18563.307,6948445.0,255381.0,2198.0,93.0,425.0,5093.0,6164.0,20375.0,53.7,27.20815174190719
10676,BGR,18563.307,6948445.0,258385.0,3004.0,65.0,440.0,5307.0,12167.0,15920.0,53.7,26.891828085995705
10677,BGR,18563.307,6948445.0,259811.0,1426.0,22.0,437.0,5463.0,16865.0,2654.0,53.7,26.744229459106812
10678,BGR,18563.307,6948445.0,260308.0,497.0,21.0,452.0,5629.0,10471.0,1513.0,53.7,26.693167324861317
12554,CAN,44017.59099999999,37742157.0,788197.0,4502.0,104.0,790.0,3610.0,102060.0,18263.0,75.46,47.884167283052335
12555,CAN,44017.59099999999,37742157.0,791145.0,2948.0,97.0,771.0,3649.0,70324.0,12710.0,75.46,47.70573915021899
12556,CAN,44017.59099999999,37742157.0,794412.0,3267.0,119.0,756.0,3486.0,72422.0,13266.0,75.46,47.50955045996284
12557,CAN,44017.59099999999,37742157.0,798394.0,3982.0,125.0,737.0,3432.0,109852.0,18598.0,75.46,47.27259598644278
12558,CAN,44017.59099999999,37742157.0,802530.0,4136.0,121.0,724.0,3312.0,124909.0,22835.0,75.46,47.02896714141527
12559,CAN,44017.59099999999,37742157.0,805794.0,3264.0,93.0,708.0,3188.0,124016.0,21469.0,75.46,46.83846864086851
12560,CAN,44017.59099999999,37742157.0,809001.0,3207.0,60.0,713.0,3058.0,122198.0,12927.0,75.46,46.652794001490726
12561,CAN,44017.59099999999,37742157.0,812804.0,3803.0,70.0,707.0,3029.0,99304.0,21449.0,75.46,46.434511887244646
12562,CAN,44017.59099999999,37742157.0,815487.0,2683.0,84.0,671.0,2997.0,66348.0,25771.0,75.46,46.28173962307186
12563,CAN,44017.59099999999,37742157.0,818755.0,3268.0,93.0,669.0,2975.0,72486.0,29760.0,75.46,46.09700948391155
12564,CAN,44017.59099999999,37742157.0,821932.0,3177.0,82.0,635.0,2816.0,114132.0,32412.0,75.46,45.918831484843025
12565,CAN,44017.59099999999,37742157.0,824611.0,2679.0,79.0,614.0,2638.0,129621.0,35150.0,75.46,45.76965017444589
12566,CAN,44017.59099999999,37742157.0,828408.0,3797.0,70.0,594.0,2608.0,121554.0,33237.0,75.46,45.55986542862937
12567,CAN,44017.59099999999,37742157.0,830612.0,2204.0,23.0,593.0,2503.0,117756.0,17824.0,75.46,45.43897391321098
12568,CAN,44017.59099999999,37742157.0,832375.0,1763.0,37.0,598.0,2508.0,98615.0,9861.0,75.46,45.34273254242379
12569,CAN,44017.59099999999,37742157.0,836594.0,4219.0,97.0,605.0,2531.0,70447.0,26157.0,75.46,45.114066082233435
12570,CAN,44017.59099999999,37742157.0,839155.0,2561.0,44.0,605.0,2504.0,68521.0,20480.0,75.46,44.976383385667724
12571,CAN,44017.59099999999,37742157.0,842590.0,3435.0,70.0,573.0,2497.0,88279.0,27025.0,75.46,44.79302745107348
12572,CAN,44017.59099999999,37742157.0,845673.0,3083.0,72.0,559.0,2375.0,120726.0,47850.0,75.46,44.62972922157855
12573,CAN,44017.59099999999,37742157.0,848330.0,2657.0,50.0,543.0,2335.0,129338.0,49707.0,75.46,44.4899473082409
12574,CAN,44017.59099999999,37742157.0,850737.0,2407.0,44.0,555.0,2274.0,112310.0,42397.0,75.46,44.36407138751459
